STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
30139,E,Cottage Grove (Terminal arrival),Cottage Grove,Cottage Grove (Green Line),40720,true,false,false,true,false,false,false,false,false,false,"(41.780309, -87.605857)",53,22260,9,347,4
30140,W,Cottage Grove (Harlem-bound),Cottage Grove,Cottage Grove (Green Line),40720,true,false,false,true,false,false,false,false,false,false,"(41.780309, -87.605857)",53,22260,9,347,4
30045,S,Cumberland (Forest Pk-bound),Cumberland,Cumberland (Blue Line),40230,true,false,true,false,false,false,false,false,false,false,"(41.984246, -87.838028)",34,22243,75,64,29
30044,N,Cumberland (O'Hare-bound),Cumberland,Cumberland (Blue Line),40230,true,false,true,false,false,false,false,false,false,false,"(41.984246, -87.838028)",34,22243,75,64,29
30041,W,Damen (54th/Cermak-bound),Damen,Damen (Pink Line),40210,true,false,false,false,false,false,false,false,true,false,"(41.854517, -87.675975)",8,14920,33,366,26
30040,E,Damen (Loop-bound),Damen,Damen (Pink Line),40210,true,false,false,false,false,false,false,false,true,false,"(41.854517, -87.675975)",8,14920,33,366,26
30116,S,Damen/Milwaukee (Forest Pk-bound),Damen,Damen (Blue Line),40590,false,false,true,false,false,false,false,false,false,false,"(41.909744, -87.677437)",24,21560,25,481,41
30115,N,Damen/Milwaukee (O'Hare-bound),Damen,Damen (Blue Line),40590,false,false,true,false,false,false,false,false,false,false,"(41.909744, -87.677437)",24,21560,25,481,41
30018,N,Damen (Kimball-bound),Damen,Damen (Brown Line),40090,true,false,false,false,true,false,false,false,false,false,"(41.966286, -87.678639)",13,21849,6,225,18
30019,S,Damen (Loop-bound),Damen,Damen (Brown Line),40090,true,false,false,false,true,false,false,false,false,false,"(41.966286, -87.678639)",13,21849,6,225,18
30011,S,Davis (Howard-Loop-bound),Davis,Davis (Purple Line),40050,true,false,false,false,false,true,true,false,false,false,"(42.04771, -87.683543)",,26293,,,
30010,N,Davis (Linden-bound),Davis,Davis (Purple Line),40050,true,false,false,false,false,true,true,false,false,false,"(42.04771, -87.683543)",,26293,,,
30134,S,Dempster (Howard-Loop-bound),Dempster,Dempster (Purple Line),40690,false,false,false,false,false,true,true,false,false,false,"(42.041655, -87.681602)",,26293,,,
30133,N,Dempster (Linden-bound),Dempster,Dempster (Purple Line),40690,false,false,false,false,false,true,true,false,false,false,"(42.041655, -87.681602)",,26293,,,
30027,S,Dempster-Skokie (Howard-bound),Dempster-Skokie,Dempster-Skokie  (Yellow Line),40140,true,false,false,false,false,false,false,true,false,false,"(42.038951, -87.751919)",,9460,,,
30026,N,Dempster-Skokie (Arrival),Dempster-Skokie,Dempster-Skokie  (Yellow Line),40140,true,false,false,false,false,false,false,true,false,false,"(42.038951, -87.751919)",,9460,,,
30103,N,Diversey (Kimball-Linden-bound),Diversey,Diversey (Brown & Purple Lines),40530,true,false,false,false,true,false,true,false,false,false,"(41.932732, -87.653131)",38,21190,57,681,25
30104,S,Diversey (Loop-bound),Diversey,Diversey (Brown & Purple Lines),40530,true,false,false,false,true,false,true,false,false,false,"(41.932732, -87.653131)",38,21190,57,681,25
30063,S,Division (Forest Pk-bound),Division,Division (Blue Line),40320,false,false,true,false,false,false,false,false,false,false,"(41.903355, -87.666496)",24,22620,25,484,11
30062,N,Division (O'Hare-bound),Division,Division (Blue Line),40320,false,false,true,false,false,false,false,false,false,false,"(41.903355, -87.666496)",24,22620,25,484,11
30076,E,Forest Park (O'Hare-bound),Forest Park,Forest Park (Blue Line),40390,true,false,true,false,false,false,false,false,false,false,"(41.874257, -87.817318)",,15606,,,
30077,W,Forest Park (Terminal Arrival),Forest Park,Forest Park (Blue Line),40390,true,false,true,false,false,false,false,false,false,false,"(41.874257, -87.817318)",,15606,,,
30102,S,Foster (Howard-Loop-bound),Foster,Foster (Purple Line),40520,false,false,false,false,false,true,true,false,false,false,"(42.05416, -87.68356)",,26293,,,
